transactionId,userId,email,age,tshirtSize,fullName,phoneNumber,address,transactionAmount,items,totalItems,date,purposeConsent
849938247,477049,mistykirby@hotmail.com,31,M,William Robles,001-652-752-8469x68291,076 Mandy Corners Suite 751,12,"[11217, 18090]",2,2022-09-16 16:02:32,0
986081859,107296,johnsmith@hotmail.com,73,L,Bruce Patton,(311)182-4594,61283 Paul Gateway Apt. 026,153,"[18347, 17344, 19829, 13463, 18720]",5,2022-11-01 16:02:32,2
534542356,270039,rhowell@gmail.com,83,M,Crystal Bruce,001-096-429-9884x2572,5359 Hernandez Union Apt. 222,160,"[17453, 11685, 17985, 10845, 19366, 17451]",6,2022-09-14 16:02:32,0
991419130,975416,allenbetty@yahoo.com,30,S,Julie Martin,887.367.4267,021 Weber Underpass,110,[14137],1,2022-09-09 16:02:32,2
488932444,376203,owenspatricia@gmail.com,26,M,Meagan Willis,960.762.9771x96025,0641 Robert Views,34,"[11217, 12285, 11685, 19829]",4,2023-01-09 16:02:32,2
832564492,531000,gutierrezlori@gmail.com,28,L,Darren Hernandez,779-449-1290x2272,85112 Rebekah Trafficway Apt. 629,258,"[10407, 12764, 13573, 17586, 19227]",5,2022-09-26 16:02:32,1
672899663,399447,katrinalang@gmail.com,23,XS,Cheryl Reyes,547.020.6176x2754,1664 Horton Stravenue,221,"[16559, 11485, 17451, 15521, 13463]",5,2022-10-13 16:02:32,0
103398044,622222,timothyjohnson@gmail.com,13,M,Andrea Green,365-366-6379x329,835 Edwards Rapids Apt. 812,125,"[19366, 19227, 17453]",3,2022-11-02 16:02:32,2
302246621,420431,breannapayne@hotmail.com,46,XS,Dr. Kimberly Sampson,(714)852-3707x18115,60761 Nancy Motorway Apt. 284,297,"[17586, 16605, 10407, 13476, 16559]",5,2022-08-03 16:02:32,1
416311394,889107,marie18@hotmail.com,79,XL,Jennifer Ali,(195)446-9130x169,18872 Murphy Ports,270,"[12877, 14137, 17451, 14341, 10407, 15287]",6,2022-12-10 16:02:32,2
679687180,492839,syoung@yahoo.com,34,XL,Robin Ibarra,(731)960-0372x7279,16622 Barton Pass Suite 359,273,"[13685, 11414, 19227]",3,2022-09-02 16:02:32,1
861711537,437644,kelly54@hotmail.com,87,M,Timothy Poole,001-469-647-2648x5765,12427 Michael Valleys Suite 380,313,"[17985, 14341, 13463]",3,2022-08-29 16:02:32,1
812546859,380631,elizabethjimenez@gmail.com,19,XL,Kayla Meyer,+1-903-363-6014x663,6771 Jennifer Curve,200,"[17451, 16559, 10407, 17453, 16492, 12024]",6,2022-09-03 16:02:32,2
723449383,902585,john46@yahoo.com,61,XL,Ronnie Carrillo,274.058.2643x8803,336 Tracey Islands,42,"[12285, 14359, 14359, 10796, 10407, 18720]",6,2022-09-03 16:02:32,1
